Sexo Masa Per_abdo Long_pie Long_man Estatura
Hom 77.4 103 26.3 18.8 165.4
Hom 85.5 92.8 25.7 18.5 176.6
Hom 91.6 104 26.5 20.2 172.4
Hom 77 87.4 25 18.8 173.3
Hom 65.8 82.3 25.3 19.2 165.3
Hom 71.1 89.8 24.4 18.2 163.8
Hom 69.1 89.3 25.5 18.2 165.7
Hom 74.9 92 24.5 18.3 162.6
Hom 73.6 88.9 25 17.8 170.4
Hom 56.2 75.4 26.3 19.3 171.1
Hom 79.1 91.3 25.2 18.8 170.8
Hom 87.4 91.2 27.8 20.5 179.9
Hom 63.1 81.1 25.4 18.5 166.5
Hom 70.6 85.1 24 18.7 166.4
Hom 78.8 82.4 27.2 20 173.6
Hom 61.9 80.7 25.3 17.4 163
Hom 52 67.9 24.5 18.6 166.8
Hom 72 88.9 23.6 17.6 164.9
Hom 74.8 88.5 25.6 18.7 172.8
Hom 60.1 78.6 24.8 17.5 170.1
Hom 84.8 102.3 25.4 19 170.2
Hom 66.2 86.9 24.5 18.7 165.8
Hom 88.9 104.4 24.5 18.4 167.4
Hom 67.5 88.2 26.5 19.6 173.7
Hom 85.5 98.6 25.1 19.4 173.9
Hom 95.3 113.6 26.1 19.2 169.1
Hom 75.4 92.6 25.1 18.1 170.1
Hom 77.5 97 22.9 16.6 160.7
Hom 66.8 89.3 25.6 19.3 162.2
Hom 83.5 96.7 25.2 18.2 166.5
Hom 80.6 86.3 27.4 20.3 178.8
Hom 74.9 92.9 24.4 17.8 162.4
Hom 84.2 95.9 24.2 18.6 171.6
Hom 70.4 84 25.1 18.7 170.8
Hom 82.3 88.2 26.3 19 182.6
Hom 87.3 105 25.3 19.1 169.4
Hom 94.9 102.3 25.1 19.2 166.6
Hom 87.8 96.9 25 18.7 169.8
Hom 71 88.5 24.2 17.6 162.8
Hom 83.1 92.3 26.1 19.7 174
Hom 84.6 101.9 27.1 20.1 172.7
Hom 64.3 80.6 25.5 18.6 173.5
Hom 79.7 91.2 26 19.6 173.9
Hom 64.8 74.4 24.4 18.1 172.8
Hom 65.3 82.9 23.7 18.2 159.3
Hom 69.1 78 26.5 19 176.8
Hom 69.2 87.4 26.4 19.1 170.5
Hom 58 74.4 26.1 18.5 165.4
Hom 57 76 24.5 17.4 165
Hom 87.4 98 25.3 19.2 166.5
Hom 83.4 89.8 27.3 19.5 184.1
Hom 71.4 83.4 25.4 18.6 176.7
Hom 81 95.6 25.7 19.6 179.5
Hom 89.2 97.3 26.2 19.6 173.6
Hom 84.1 95 24.4 19.3 169.3
Hom 75.8 88.2 25.5 19.1 172.9
Hom 87.9 91.8 27 19.2 177.1
Hom 117.3 111.5 26.8 19.2 181.3
Hom 74.2 84 26 19 176.6
Hom 74.6 95.7 24.6 17.6 164.6
Hom 80.3 92.3 25.1 17.3 171.4
Hom 61.6 76.5 26.2 18.5 178.7
Hom 66.8 83.4 24.2 17.7 163.1
Hom 72.7 93.1 25.8 18.8 170.3
Hom 83.5 100.8 24 18.3 166.2
Hom 59.4 79.8 24.5 17.5 166.4
Hom 79.8 91.1 26.7 19.3 177.7
Hom 65.5 90 24.5 18.3 160.9
